Player,TT,SCK,FF,FR,INT,ITD,FTD,PTS
Panthers D/ST,0,43.3,17,8.6,16.1,1.7,1.1,117.5
Seahawks D/ST,0,41,18.2,9.3,14.9,1.6,1.2,114.2
Jaguars D/ST,0,34,18,9.1,15.5,1.6,1.1,110.5
Steelers D/ST,0,42,16.6,8.4,12.8,1.3,1.1,107.5
Bengals D/ST,0,37.2,16.7,8.5,14.9,1.6,1.1,107
Chargers D/ST,0,39.2,17.4,8.8,13.2,1.4,1.1,106.1
Rams D/ST,0,36.3,19.3,9.9,13.2,1.4,1.1,105.7
Vikings D/ST,0,41.9,16.2,8.3,11.6,1.2,1.1,104.3
Texans D/ST,0,40.8,17.1,8.7,11.7,1.2,1.1,102.7
Broncos D/ST,0,33.8,18,9.2,13.6,1.4,1.1,102.4
Cardinals D/ST,0,34.7,18.4,9.4,12.6,1.3,1.1,99.9
Dolphins D/ST,0,38.7,17.5,8.9,15.6,1.7,1.1,99.7
Chiefs D/ST,0,37,18.8,9.6,15.6,1.7,1.1,99.2
Titans D/ST,0,41.8,18.7,9.5,13.2,1.4,1.1,94.3
Ravens D/ST,0,31.3,16.9,8.6,11.8,1.2,1.1,94.2
Redskins D/ST,0,39,19.3,9.8,13.6,1.4,1.1,92.8
Falcons D/ST,0,36.9,17.7,9,13.8,1.4,1.1,91.9
Giants D/ST,0,34.9,19.6,10,13.8,1.5,1.1,89.9
Buccaneers D/ST,0,39.6,16.5,8.4,13.4,1.4,1.1,89.6
Patriots D/ST,0,34.6,17.2,8.7,14.4,1.5,1,87.6
49ers D/ST,0,36.1,19,9.7,12.2,1.3,1.1,86.8
Packers D/ST,0,36.9,16.8,8.5,13.3,1.4,1.1,86
Eagles D/ST,0,32.2,18.2,9.2,12.4,1.3,1.1,84.2
Bears D/ST,0,37.7,16.1,8.3,12,1.3,1.1,84.1
Cowboys D/ST,0,33,18.5,9.4,12,1.3,1.1,81.9
Saints D/ST,0,35.3,16.3,8.3,11.4,1.2,1.1,79.8
Browns D/ST,0,26.6,16.8,8.6,13,1.4,1.1,76.6
Colts D/ST,0,27.8,17.8,9.1,12.6,1.3,1.1,76.4
Bills D/ST,0,33.7,16.3,8.3,10.7,1.1,1.1,75.8
Lions D/ST,0,28.9,16.5,8.4,12.1,1.3,1.1,75.8
Raiders D/ST,0,27.5,17.7,9,11.4,1.2,1.1,75.6
Jets D/ST,0,30.2,16.1,8.3,8.8,0.9,1.1,68