Player,CA,Pass_YDS,Pass_TD,INT,RUSH,Rush_YDS,Pass_TD,REC,Rec_YDS,Rec_TD,PTS
Le'Veon Bell, 0/0,0,0,0,303.6,1396.6,0,81.9,672.1,3.7,368.6
David Johnson, 0/0,0,9.8,0,307.1,1227.8,9.8,77.7,779.4,4.1,368.6
Ezekiel Elliott, 0/0,0,0,0,318.2,1495.5,0,44.3,388.3,2,310.2
LeSean McCoy, 0/0,0,11.7,0,240.8,1196.6,11.7,53,417.1,1.6,265.6
Devonta Freeman, 0/0,0,0,0,203,860.9,0,52.1,446.1,3.4,260.8
Todd Gurley II, 0/0,0,11.7,0,291.6,1125.1,11.7,46.2,356.4,1.4,252.2
Melvin Gordon, 0/0,0,0,0,295.7,1200.4,0,43,345.6,1.9,247.1
Jay Ajayi, 0/0,0,7.4,0,295.3,1312.3,7.4,29.1,223.9,1.4,240.7
Jordan Howard, 0/0,0,0,0,273.4,1240.4,0,31.9,263.5,1.4,238
DeMarco Murray, 0/0,0,9.6,0,239.6,1049.7,9.6,43.6,311.6,1.8,233.8
Leonard Fournette, 0/0,0,0,0,277.5,1240.3,0,30.7,245.8,0.7,229.8
Kareem Hunt, 0/0,0,8.6,0,224.9,924.9,8.6,41.8,330,0.9,218.8
Marshawn Lynch, 0/0,0,0,0,222.5,970.5,0,34.7,286.8,1.4,216.6
Lamar Miller, 0/0,0,6.9,0,256.5,1048.1,6.9,38.2,304,1.1,216.3
Carlos Hyde, 0/0,0,0,0,237.1,983.9,0,38.2,281.7,1.2,206.4
Isaiah Crowell, 0/0,0,8.9,0,224.8,965.3,8.9,36.3,278.7,1,202.1
Christian McCaffrey, 0/0,0,0,0,142.3,639.2,0,52.6,477.4,2.3,202.1
Mark Ingram, 0/0,0,8.2,0,165,749.9,8.2,41.4,311.6,2.1,198.4
Dalvin Cook, 0/0,0,0,0,207.2,898.6,0,34.3,284.8,1,195.5
Ty Montgomery, 0/0,0,7.6,0,159.4,711,7.6,44,356,2.6,189.1
Bilal Powell, 0/0,0,0,0,154.7,697.6,0,53.8,395.2,1.2,188.7
Danny Woodhead, 0/0,0,8.4,0,98,407.1,8.4,64.4,527.2,2.9,187.8
Frank Gore, 0/0,0,0,0,230.1,934.1,0,28.8,234.6,1.3,187.6
Terrance West, 0/0,0,8.2,0,222.4,913.3,8.2,34.1,242.9,1.4,187.6
Ameer Abdullah, 0/0,0,0,0,203.2,858.8,0,35.4,291.4,1.7,182.1
Theo Riddick, 0/0,0,8.9,0,62.3,240.7,8.9,69.2,551,3.7,180.7
Joe Mixon, 0/0,0,0,0,192.1,808.4,0,27.9,222.6,0.8,176.4
C.J. Anderson, 0/0,0,6.3,0,184.6,824.2,6.3,30.7,248.5,0.8,174.9
Adrian Peterson, 0/0,0,0,0,160.9,716.7,0,34.1,260.4,1.6,174.2
Mike Gillislee, 0/0,0,6.5,0,202.9,970.1,6.5,13.2,109,0.4,170.7
Duke Johnson Jr., 0/0,0,0,0,101.2,417.2,0,56.8,465,1.3,165
James White, 0/0,0,6.3,0,87.7,361.1,6.3,48,419.1,2.7,164.8
Matt Forte, 0/0,0,0,0,144.1,589.6,0,42.2,349.6,1,162.7
Tevin Coleman, 0/0,0,4.1,0,125,536.8,4.1,33,313.4,2.3,161.9
Paul Perkins, 0/0,0,0,0,214.9,877.5,0,26.3,227.3,0.9,160.7
Giovani Bernard, 0/0,0,6.6,0,124.7,515.1,6.6,44,364.5,1.2,159.7
Darren Sproles, 0/0,0,0,0,89,391.5,0,49.6,388.9,1.1,155.7
Rob Kelley, 0/0,0,6.7,0,209.7,864.5,6.7,15,119.1,0.5,153.9
Chris Thompson, 0/0,0,0,0,67.1,302.8,0,51.8,419.1,1.8,145.8
Eddie Lacy, 0/0,0,4.1,0,182.5,803.4,4.1,14.7,122.7,0.7,143
Doug Martin, 0/0,0,0,0,193.3,780.5,0,17.1,133,0.7,142.2
Jonathan Stewart, 0/0,0,3.2,0,177.9,766.8,3.2,11.9,93.1,0.4,136.8
Shane Vereen, 0/0,0,0,0,71.6,303.2,0,47.1,385.9,2.2,135.7
Jamaal Charles, 0/0,0,2.6,0,104.8,543.2,2.6,29.3,247,1.6,128.6
Charles Sims, 0/0,0,0,0,87.5,351.7,0,39.1,334.4,1.5,127.3
C.J. Prosise, 0/0,0,5.9,0,64.1,272.8,5.9,41.5,379.1,1.3,125.5
LeGarrette Blount, 0/0,0,0,0,161.8,666.5,0,9.1,67.3,0.3,120.4
Robert Turbin, 0/0,0,5.3,0,79.2,309.7,5.3,35.5,289.1,1.8,117.8
Alvin Kamara, 0/0,0,0,0,40.2,174.4,0,44.1,374.3,1.6,116.1
Derrick Henry, 0/0,0,4.7,0,155.3,656,4.7,10.9,89.1,0.3,112.3
Branden Oliver, 0/0,0,0,0,94.5,372.3,0,25.7,202.4,1.1,102.8
T.J. Yeldon, 0/0,0,1.6,0,47,185.3,1.6,41.5,292.8,1.1,100.1
Kyle Juszczyk, 0/0,0,0,0,7.5,23.8,0,46.7,377.2,2.1,100
Rex Burkhead, 0/0,0,7.2,0,65.9,283.2,7.2,24.6,207.8,1.3,96.4
Wendell Smallwood, 0/0,0,0,0,101.1,414.6,0,18,142,0.4,94.1
Jerick McKinnon, 0/0,0,5.3,0,44.4,186.2,5.3,34.6,239.5,1,88.7
Jalen Richard, 0/0,0,0,0,52.8,236.8,0,26.5,209.4,1.1,86.9
Latavius Murray, 0/0,0,6.2,0,96.4,400.6,6.2,13.6,98.6,0.4,85.4
DeAndre Washington, 0/0,0,0,0,81,357.4,0,17.6,136.7,0.7,84.8
Jamaal Williams, 0/0,0,7.8,0,111.2,433.2,7.8,10.5,85.9,0.4,84.6
Matt Breida, 0/0,0,0,0,93.4,370.8,0,16.4,136,0.3,82.5
Charcandrick West, 0/0,0,2.3,0,88.7,345,2.3,11.8,92.1,0.5,81.5
D'Onta Foreman, 0/0,0,0,0,98.3,389.7,0,8.4,73.2,0.2,72.4
Jacquizz Rodgers, 0/0,0,3.8,0,94.4,383.5,3.8,11.7,77,0.3,72.1
Tarik Cohen, 0/0,0,0,0,71.3,287.9,0,14.8,118.4,0.4,67.9
Thomas Rawls, 0/0,0,3.6,0,96.1,428.1,3.6,4.3,34.1,0.2,67.3
Damien Williams, 0/0,0,0,0,28.7,115.4,0,21.6,181.8,1.4,65.4
Darren McFadden, 0/0,0,5.2,0,69.8,296.1,5.2,11.3,85.7,0.4,64.6
Kenyan Drake, 0/0,0,0,0,65.6,281.2,0,10.8,88.2,0.3,62.8
Mike Tolbert, 0/0,0,3.4,0,68.7,268.3,3.4,7.1,58.7,0.3,60.8
Jeremy Hill, 0/0,0,0,0,79.8,325.3,0,4.4,32.8,0.2,58.2
Devontae Booker, 0/0,0,3.6,0,60.9,240.8,3.6,10.4,86.4,0.4,52.5
Samaje Perine, 0/0,0,0,0,61.2,233.8,0,6.3,54.5,0.1,49.8
James Conner, 0/0,0,2.9,0,59.9,235,2.9,4.3,35.8,0.1,47.6
Kerwynn Williams, 0/0,0,0,0,48.5,212.4,0,9,77.9,0.2,46.9
Marlon Mack, 0/0,0,6.7,0,37.7,144,6.7,13.1,108.2,0.4,46.1
Andre Ellington, 0/0,0,0,0,28.3,113.3,0,13.1,116.8,0.5,44.7
Joe Banyard, 0/0,0,2.1,0,51.8,218.7,2.1,3.6,30.4,0.1,39.6
Chris Ivory, 0/0,0,0,0,61.4,260.5,0,2,15.9,0,37.6
Aaron Jones, 0/0,0,5.3,0,44.5,191.1,5.3,6.3,51.5,0.2,37.3