Player,CA,Pass_YDS,Pass_TD,INT,RUSH,Rush_YDS,Pass_TD,REC,Rec_YDS,Rec_TD,PTS
Rob Gronkowski, 0/0, 0, 0, 0, 0, 0, 0, 74.2, 1122.2, 9.7, 244.1
Greg Olsen, 0/0, 0, 0, 0, 0, 0, 0, 80.1, 1062.5, 6.5, 225.9
Travis Kelce, 0/0, 0, 0, 0, 0, 0, 0, 83.6, 1050, 4.7, 216.8
Jordan Reed, 0/0, 0, 0, 0, 0, 0, 0, 84.2, 930.4, 6.3, 214.3
Kyle Rudolph, 0/0, 0, 0, 0, 0, 0, 0, 76.6, 741.7, 6.6, 190.9
Jimmy Graham, 0/0, 0, 0, 0, 0, 0, 0, 61.3, 768.6, 7, 179.7
Zach Ertz, 0/0, 0, 0, 0, 0, 0, 0, 74, 771.5, 4.4, 178
Delanie Walker, 0/0, 0, 0, 0, 0, 0, 0, 60.4, 708.2, 5.7, 164.9
Jack Doyle, 0/0, 0, 0, 0, 0, 0, 0, 62.7, 619.2, 5.9, 159.4
Eric Ebron, 0/0, 0, 0, 0, 0, 0, 0, 62.5, 700.4, 4, 156.1
Martellus Bennett, 0/0, 0, 0, 0, 0, 0, 0, 58.9, 609.2, 5.9, 155.4
Tyler Eifert, 0/0, 0, 0, 0, 0, 0, 0, 57.7, 627.2, 5.2, 151.1
Jason Witten, 0/0, 0, 0, 0, 0, 0, 0, 62.3, 626.2, 4.4, 151.1
Hunter Henry, 0/0, 0, 0, 0, 0, 0, 0, 51, 600.2, 6.2, 147.9
Coby Fleener, 0/0, 0, 0, 0, 0, 0, 0, 48.4, 580.7, 6, 141.8
Austin Hooper, 0/0, 0, 0, 0, 0, 0, 0, 48, 569.2, 5.9, 140.7
Charles Clay, 0/0, 0, 0, 0, 0, 0, 0, 56.8, 604.3, 3.5, 138.3
C.J. Fiedorowicz, 0/0, 0, 0, 0, 0, 0, 0, 54.6, 598.9, 3.8, 137.1
Cameron Brate, 0/0, 0, 0, 0, 0, 0, 0, 50.9, 552.1, 5, 135.9
Jared Cook, 0/0, 0, 0, 0, 0, 0, 0, 47.8, 603.7, 4.5, 134.8
Evan Engram, 0/0, 0, 0, 0, 0, 0, 0, 51.1, 556.7, 4.2, 131.8
Julius Thomas, 0/0, 0, 0, 0, 0, 0, 0, 44.2, 444, 5.6, 121.8
Antonio Gates, 0/0, 0, 0, 0, 0, 0, 0, 43, 490.5, 5, 121.5
Austin Seferian-Jenkins, 0/0, 0, 0, 0, 0, 0, 0, 45, 519.6, 2.9, 114.2
O.J. Howard, 0/0, 0, 0, 0, 0, 0, 0, 42.4, 435.1, 4.2, 111.3
Tyler Higbee, 0/0, 0, 0, 0, 0, 0, 0, 43.5, 426.6, 3.3, 105.8
Jermaine Gresham, 0/0, 0, 0, 0, 0, 0, 0, 41.4, 422.7, 2.9, 99.9
David Njoku, 0/0, 0, 0, 0, 0, 0, 0, 39.7, 421.8, 2.6, 97.1
Zach Miller, 0/0, 0, 0, 0, 0, 0, 0, 39, 409.2, 2.8, 96.8
Nick Boyle, 0/0, 0, 0, 0, 0, 0, 0, 42, 374, 1.9, 90.6
Jesse James, 0/0, 0, 0, 0, 0, 0, 0, 31.2, 324.9, 2.7, 80.5
Ryan Griffin, 0/0, 0, 0, 0, 0, 0, 0, 29.8, 332.4, 1.6, 72.4
Vernon Davis, 0/0, 0, 0, 0, 0, 0, 0, 23.1, 318.2, 2, 66.5
Marcedes Lewis, 0/0, 0, 0, 0, 0, 0, 0, 25.2, 280.5, 2, 65
A.J. Derby, 0/0, 0, 0, 0, 0, 0, 0, 26.4, 273.7, 1.9, 64.8
George Kittle, 0/0, 0, 0, 0, 0, 0, 0, 25.6, 264.6, 1.5, 61.1
Vance McDonald, 0/0, 0, 0, 0, 0, 0, 0, 20.5, 251.1, 2.2, 58.7
Benjamin Watson, 0/0, 0, 0, 0, 0, 0, 0, 24.4, 244, 1.7, 58.4
Seth DeValve, 0/0, 0, 0, 0, 0, 0, 0, 24.3, 235.9, 1.4, 56.4
Josh Hill, 0/0, 0, 0, 0, 0, 0, 0, 18.6, 198.8, 2.3, 52.6
Dwayne Allen, 0/0, 0, 0, 0, 0, 0, 0, 18.8, 201.8, 2.1, 51.4
Gerald Everett, 0/0, 0, 0, 0, 0, 0, 0, 21.3, 219.8, 1.3, 51.1
Trey Burton, 0/0, 0, 0, 0, 0, 0, 0, 19.6, 195.7, 1.2, 46.3
Dion Sims, 0/0, 0, 0, 0, 0, 0, 0, 17.2, 166, 1.6, 43.3
Ben Koyack, 0/0, 0, 0, 0, 0, 0, 0, 18.9, 178.4, 1, 42.3
Maxx Williams, 0/0, 0, 0, 0, 0, 0, 0, 17, 158.1, 1, 38.8
Virgil Green, 0/0, 0, 0, 0, 0, 0, 0, 15.6, 163.4, 1, 37.9
Logan Paulsen, 0/0, 0, 0, 0, 0, 0, 0, 14.2, 147.2, 0.9, 34.4
Adam Shaheen, 0/0, 0, 0, 0, 0, 0, 0, 13.2, 131.5, 1.1, 32.8
Demetrius Harris, 0/0, 0, 0, 0, 0, 0, 0, 13, 125.3, 1, 31.3
Troy Niklas, 0/0, 0, 0, 0, 0, 0, 0, 12.1, 129.7, 1, 31.2
Brandon Williams, 0/0, 0, 0, 0, 0, 0, 0, 11.7, 120.4, 1.2, 31
Rhett Ellison, 0/0, 0, 0, 0, 0, 0, 0, 12.3, 121.8, 0.9, 29.8
Xavier Grimble, 0/0, 0, 0, 0, 0, 0, 0, 10.9, 117, 1, 28.7
Garrett Celek, 0/0, 0, 0, 0, 0, 0, 0, 10.7, 121.1, 0.7, 26.8
Luke Willson, 0/0, 0, 0, 0, 0, 0, 0, 9.8, 118.4, 0.9, 26.7
Levine Toilolo, 0/0, 0, 0, 0, 0, 0, 0, 9.1, 92.4, 1.2, 25.5
Will Tye, 0/0, 0, 0, 0, 0, 0, 0, 10.9, 114.2, 0.5, 25.4
Jonnu Smith, 0/0, 0, 0, 0, 0, 0, 0, 9.7, 99.1, 1, 25.3
Nick O'Leary, 0/0, 0, 0, 0, 0, 0, 0, 9.5, 101.3, 0.7, 23.6
Jeff Heuerman, 0/0, 0, 0, 0, 0, 0, 0, 9.5, 98.6, 0.7, 23.2
Darren Fells, 0/0, 0, 0, 0, 0, 0, 0, 8, 94.5, 0.7, 21.7
James Hanna, 0/0, 0, 0, 0, 0, 0, 0, 8.9, 86.3, 0.7, 21.5
Lee Smith, 0/0, 0, 0, 0, 0, 0, 0, 8.6, 76.8, 0.8, 20.9
Clive Walford, 0/0, 0, 0, 0, 0, 0, 0, 7.5, 85.4, 0.7, 20.6
Brent Celek, 0/0, 0, 0, 0, 0, 0, 0, 8, 94.3, 0.5, 20.5
David Morgan II, 0/0, 0, 0, 0, 0, 0, 0, 7.7, 76.5, 0.6, 18.6
Stephen Anderson, 0/0, 0, 0, 0, 0, 0, 0, 7.3, 78.8, 0.5, 18
Geoff Swaim, 0/0, 0, 0, 0, 0, 0, 0, 6.8, 69.8, 0.6, 17.6
Ed Dickson, 0/0, 0, 0, 0, 0, 0, 0, 6.4, 72.6, 0.6, 17.1
James O'Shaughnessy, 0/0, 0, 0, 0, 0, 0, 0, 7.1, 70.5, 0.4, 16.9
Lance Kendricks, 0/0, 0, 0, 0, 0, 0, 0, 5.6, 57.3, 0.7, 15.4
Jake Butt, 0/0, 0, 0, 0, 0, 0, 0, 5.6, 57.7, 0.4, 13.8
Randall Telfer, 0/0, 0, 0, 0, 0, 0, 0, 5.2, 50.5, 0.3, 12.1
Michael Hoomanawanui, 0/0, 0, 0, 0, 0, 0, 0, 4.3, 46.1, 0.5, 11.9
C.J. Uzomah, 0/0, 0, 0, 0, 0, 0, 0, 4.7, 45.7, 0.4, 11.4
Ifeanyi Momah, 0/0, 0, 0, 0, 0, 0, 0, 4, 43.2, 0.3, 10.4
Michael Roberts, 0/0, 0, 0, 0, 0, 0, 0, 3.9, 41.7, 0.4, 10.3
Richard Rodgers, 0/0, 0, 0, 0, 0, 0, 0, 3.7, 38.2, 0.5, 10.3
Eric Saubert, 0/0, 0, 0, 0, 0, 0, 0, 3.7, 38.5, 0.4, 10.2
